sku,Warehouse1,Warehouse2,Warehouse3,Warehouse4,Warehouse5,Warehouse6,Warehouse7,Warehouse8
100001,0,0,0,0,0,0,0,0
100002,0,0,0,0,0,0,0,0
100003,0,0,0,0,0,0,0,0
100005,0,0,0,0,0,0,0,0
100008,0,0,0,0,0,0,0,0
100013,0,0,0,0,0,0,0,0
100014,0,0,0,0,0,0,0,0
100019,0,0,0,0,0,0,0,0
100021,0,0,0,0,0,0,0,0
100022,0,0,0,0,0,0,0,0
100023,0,0,0,0,0,0,0,0
100025,0,0,0,0,0,0,0,0
100026,0,0,0,0,0,0,0,0
100028,0,0,0,0,0,0,0,0
100029,0,0,0,0,0,0,0,0
100044,0,0,0,0,0,0,0,0
100046,0,0,0,0,0,0,0,0
100047,0,0,0,0,0,0,0,0
100049,0,0,0,0,0,0,0,0
100062,0,0,0,0,0,0,0,0
100064,0,0,0,0,0,0,0,0
100070,0,0,0,0,0,0,0,0
100072,0,0,0,0,0,0,0,0
100075,0,0,0,0,0,0,0,0
100076,0,0,0,0,0,0,0,0
100077,0,0,0,0,0,0,0,0
100080,0,0,0,0,0,0,0,0
100082,0,0,0,0,0,0,0,0
100083,0,0,0,0,0,0,0,0
100094,0,0,0,0,0,0,0,0
100095,0,0,0,0,0,0,0,0
100096,0,0,0,0,0,0,0,0
100097,0,0,0,0,0,0,0,0
100098,0,0,0,0,0,0,0,0
100099,0,0,0,0,0,0,0,0
100100,0,0,0,0,0,0,0,0
100101,0,0,0,0,0,0,0,0
100103,0,0,0,0,0,0,0,0
100104,0,0,0,0,0,0,0,0
100105,0,0,0,0,0,0,0,0
100106,0,0,0,0,0,0,0,0
100108,0,0,0,0,0,0,0,0
100110,0,0,0,0,0,0,0,0
100112,0,0,0,0,0,0,0,0
100113,0,0,0,0,0,0,0,0
100114,0,0,0,0,0,0,0,0
100115,0,0,0,0,0,0,0,0
100116,0,0,0,0,0,0,0,0
100118,0,0,0,0,0,0,0,0
100119,0,0,0,0,0,0,0,0
100121,0,0,0,0,0,0,0,0
100122,0,0,0,0,0,0,0,0
100123,0,0,0,0,0,0,0,0
100126,0,0,0,0,0,0,0,0
100127,0,0,0,0,0,0,0,0
100128,0,0,0,0,0,0,0,0
100129,0,0,0,0,0,0,0,0
100130,0,0,0,0,0,0,0,0
100134,0,0,0,0,0,0,0,0
100135,0,0,0,0,0,0,0,0
100136,0,0,0,0,0,0,0,0
100137,0,0,0,0,0,0,0,0
100138,0,0,0,0,0,0,0,0
100139,0,0,0,0,0,0,0,0
100140,0,0,0,0,0,0,0,0
100141,0,0,0,0,0,0,0,0
100142,0,0,0,0,0,0,0,0
100144,0,0,0,0,0,0,0,0
100145,0,0,0,0,0,0,0,0
100147,0,0,0,0,0,0,0,0
100149,0,0,0,0,0,0,0,0
100150,0,0,0,0,0,0,0,0
100151,0,0,0,0,0,0,0,0
100153,0,0,0,0,0,0,0,0
100154,0,0,0,0,0,0,0,0
100155,0,0,0,0,0,0,0,0
100157,0,0,0,0,0,0,0,0
100158,0,0,0,0,0,0,0,0
100159,0,0,0,0,0,0,0,0
100160,0,0,0,0,0,0,0,0
100161,0,0,0,0,0,0,0,0
100163,0,0,0,0,0,0,0,0
100164,0,0,0,0,0,0,0,0
100165,0,0,0,0,0,0,0,0
100172,0,0,0,0,0,0,0,0
100173,0,0,0,0,0,0,0,0
100174,0,0,0,0,0,0,0,0
100178,0,0,0,0,0,0,0,0
100185,0,0,0,0,0,0,0,0
100187,0,0,0,0,0,0,0,0
100188,0,0,0,0,0,0,0,0
100189,0,0,0,0,0,0,0,0
100192,0,0,0,0,0,0,0,0
100195,0,0,0,0,0,0,0,0
100197,0,0,0,0,0,0,0,0
100201,0,0,0,0,0,0,0,0
100202,0,0,0,0,0,0,0,0
100204,0,0,0,0,0,0,0,0
100205,0,0,0,0,0,0,0,0
100208,0,0,0,0,0,0,0,0
100209,0,0,0,0,0,0,0,0
100212,0,0,0,0,0,0,0,0
100214,0,0,0,0,0,0,0,0
100215,0,0,0,0,0,0,0,0
100217,0,0,0,0,0,0,0,0
100218,0,0,0,0,0,0,0,0
100222,0,0,0,0,0,0,0,0
100223,0,0,0,0,0,0,0,0
100234,0,0,0,0,0,0,0,0
100241,0,0,0,0,0,0,0,0
100242,0,0,0,0,0,0,0,0
100243,0,0,0,0,0,0,0,0
100244,0,0,0,0,0,0,0,0
100249,0,0,0,0,0,0,0,0
100255,0,0,0,0,0,0,0,0
100257,0,0,0,0,0,0,0,0
100259,0,0,0,0,0,0,0,0
100261,0,0,0,0,0,0,0,0
100268,0,0,0,0,0,0,0,0
100276,0,0,0,0,0,0,0,0
100279,0,0,0,0,0,0,0,0
100284,0,0,0,0,0,0,0,0
100285,0,0,0,0,0,0,0,0
100286,0,0,0,0,0,0,0,0
100287,0,0,0,0,0,0,0,0
100288,0,0,0,0,0,0,0,0
100289,0,0,0,0,0,0,0,0
100290,0,0,0,0,0,0,0,0
100291,0,0,0,0,0,0,0,0
100292,0,0,0,0,0,0,0,0
100293,0,0,0,0,0,0,0,0
100296,0,0,0,0,0,0,0,0
100298,0,0,0,0,0,0,0,0
100300,0,0,0,0,0,0,0,0
100301,0,0,0,0,0,0,0,0
100304,0,0,0,0,0,0,0,0
100306,0,0,0,0,0,0,0,0
100307,0,0,0,0,0,0,0,0
100310,0,0,0,0,0,0,0,0
100313,0,0,0,0,0,0,0,0
100315,0,0,0,0,0,0,0,0
100318,0,0,0,0,0,0,0,0
100319,0,0,0,0,0,0,0,0
100322,0,0,0,0,0,0,0,0
100323,0,0,0,0,0,0,0,0
100325,0,0,0,0,0,0,0,0
100326,0,0,0,0,0,0,0,0
100328,0,0,0,0,0,0,0,0
100330,0,0,0,0,0,0,0,0
100332,0,0,0,0,0,0,0,0
100336,0,0,0,0,0,0,0,0
100338,0,0,0,0,0,0,0,0
100339,0,0,0,0,0,0,0,0
